,County Name,GDP 2018,10/2/20 Known Covid Cases
210,"Modoc, CA",455169.0,27
211,"Mono, CA",1144985.0,169
212,"Monterey, CA",27423192.0,10219
213,"Napa, CA",11316865.0,1734
214,"Nevada, CA",4761492.0,543
215,"Orange, CA",260484670.0,54118
216,"Placer, CA",24748628.0,3628
217,"Plumas, CA",1206345.0,50
218,"Riverside, CA",90768490.0,59934
219,"Sacramento, CA",96628860.0,22855
220,"San Benito, CA",2759377.0,1358
221,"San Bernardino, CA",96340620.0,55671
222,"San Diego, CA",245138820.0,47791
223,"San Francisco, CA",183171680.0,11360
224,"San Joaquin, CA",32328428.0,20485
225,"San Luis Obispo, CA",18520900.0,3685
226,"San Mateo, CA",114862990.0,10126
227,"Santa Barbara, CA",30191620.0,9249
228,"Santa Clara, CA",328260770.0,21605
229,"Santa Cruz, CA",15310247.0,2481
230,"Shasta, CA",8723326.0,953
231,"Sierra, CA",226271.0,6
232,"Siskiyou, CA",1940815.0,167
233,"Solano, CA",26440606.0,6520
234,"Sonoma, CA",31959962.0,7668
235,"Stanislaus, CA",25133924.0,16628
236,"Sutter, CA",3831491.0,1748
237,"Tehama, CA",2421320.0,605
238,"Trinity, CA",570541.0,16
239,"Tulare, CA",19137922.0,16399
240,"Tuolumne, CA",2768973.0,230
241,"Ventura, CA",59631268.0,12943
242,"Yolo, CA",15336770.0,2847
243,"Yuba, CA",3391514.0,1188
244,"Adams, CO",26808606.0,9600
245,"Alamosa, CO",748242.0,246
246,"Arapahoe, CO",48610332.0,9572
247,"Archuleta, CO",521115.0,55
248,"Baca, CO",148880.0,18
249,"Bent, CO",164418.0,11
250,"Boulder, CO",27533518.0,4520
251,"Broomfield, CO",8774670.0,676
252,"Chaffee, CO",795570.0,336
253,"Cheyenne, CO",196151.0,14
254,"Clear Creek, CO",505016.0,43
255,"Conejos, CO",251585.0,37
256,"Costilla, CO",116343.0,32
257,"Crowley, CO",124035.0,74
258,"Custer, CO",145368.0,18
259,"Delta, CO",861767.0,192
260,"Denver, CO",77455210.0,13593
261,"Dolores, CO",132365.0,3
262,"Douglas, CO",17335732.0,2717
263,"Eagle, CO",3903441.0,1272
264,"Elbert, CO",555453.0,163
265,"El Paso, CO",37001040.0,7074
266,"Fremont, CO",1515306.0,178
267,"Garfield, CO",3893318.0,963
268,"Gilpin, CO",611473.0,19
269,"Grand, CO",825925.0,83
270,"Gunnison, CO",1120201.0,296
271,"Hinsdale, CO",58282.0,3
272,"Huerfano, CO",282562.0,25
273,"Jackson, CO",125414.0,9
274,"Jefferson, CO",33039256.0,5952
275,"Kiowa, CO",71215.0,1
276,"Kit Carson, CO",425741.0,81
277,"Lake, CO",330419.0,99
278,"La Plata, CO",3538083.0,267
279,"Larimer, CO",18783482.0,2701
280,"Las Animas, CO",648555.0,25
281,"Lincoln, CO",416530.0,13
282,"Logan, CO",1116622.0,921
283,"Mesa, CO",7017336.0,689
284,"Mineral, CO",85343.0,20
285,"Moffat, CO",1063148.0,43
286,"Montezuma, CO",1567692.0,147
287,"Montrose, CO",1581715.0,386
288,"Morgan, CO",1682660.0,757
289,"Otero, CO",652500.0,103
290,"Ouray, CO",219458.0,28
291,"Park, CO",461860.0,59
292,"Phillips, CO",220369.0,33
293,"Pitkin, CO",2203979.0,227
294,"Prowers, CO",590035.0,94
295,"Pueblo, CO",6888420.0,1159
296,"Rio Blanco, CO",612774.0,26
297,"Rio Grande, CO",469296.0,96
298,"Routt, CO",1873786.0,161
299,"Saguache, CO",185596.0,111
300,"San Juan, CO",49447.0,6
301,"San Miguel, CO",725195.0,94
302,"Sedgwick, CO",116765.0,15
303,"Summit, CO",2472134.0,473
304,"Teller, CO",937531.0,177
305,"Washington, CO",226176.0,67
306,"Weld, CO",19759560.0,4874
307,"Yuma, CO",595549.0,129
308,"Fairfield, CT",89387656.0,20400
309,"Hartford, CT",84111170.0,14989
310,"Litchfield, CT",8742282.0,1899
311,"Middlesex, CT",9839702.0,1614
312,"New Haven, CT",53613900.0,14583
313,"New London, CT",19295006.0,2206
314,"Tolland, CT",5514449.0,1449
315,"Windham, CT",5222741.0,1025
316,"Kent, DE",7557875.0,3121
317,"New Castle, DE",50522840.0,10813
318,"Sussex, DE",15400621.0,6913
319,"District of Columbia, DC",140660940.0,15423
320,"Alachua, FL",14129555.0,8439
321,"Baker, FL",654846.0,1508
322,"Bay, FL",8649911.0,6161
323,"Bradford, FL",733405.0,1138
324,"Brevard, FL",25675516.0,9221
325,"Broward, FL",108572030.0,77631
326,"Calhoun, FL",282532.0,629
327,"Charlotte, FL",5227779.0,3105
328,"Citrus, FL",3989942.0,2798
329,"Clay, FL",5095775.0,5219
330,"Collier, FL",17910636.0,12811
331,"Columbia, FL",2324177.0,3863
332,"DeSoto, FL",883839.0,1577
333,"Dixie, FL",308668.0,834
334,"Duval, FL",66543824.0,30787
335,"Escambia, FL",16070346.0,12412
336,"Flagler, FL",2432945.0,1770
337,"Franklin, FL",386668.0,638
338,"Gadsden, FL",1329348.0,2855
339,"Gilchrist, FL",388264.0,515
340,"Glades, FL",276919.0,547
341,"Gulf, FL",426858.0,881
342,"Hamilton, FL",456586.0,864
343,"Hardee, FL",1122235.0,1380
344,"Hendry, FL",1220175.0,2080
345,"Hernando, FL",4321953.0,3215
346,"Highlands, FL",2716127.0,2206
347,"Hillsborough, FL",89665470.0,42565
348,"Holmes, FL",362898.0,759
349,"Indian River, FL",6015131.0,3293
350,"Jackson, FL",1369166.0,2852
351,"Jefferson, FL",312182.0,566
352,"Lafayette, FL",198918.0,1233
353,"Lake, FL",9314348.0,7606
354,"Lee, FL",30583564.0,20638
355,"Leon, FL",16062854.0,10784
356,"Levy, FL",1190801.0,1047
357,"Liberty, FL",208087.0,518
358,"Madison, FL",541055.0,1018
359,"Manatee, FL",14167026.0,11681
360,"Marion, FL",10362585.0,9868
361,"Martin, FL",7777385.0,4955
362,"Miami-Dade, FL",164632060.0,171391
363,"Monroe, FL",4886461.0,1856
364,"Nassau, FL",2530754.0,2148
365,"Okaloosa, FL",11802635.0,5118
366,"Okeechobee, FL",1193723.0,1581
367,"Orange, FL",98092584.0,40659
368,"Osceola, FL",9501712.0,12690
369,"Palm Beach, FL",81536010.0,46833
370,"Pasco, FL",12705902.0,9411
371,"Pinellas, FL",52309430.0,22347
372,"Polk, FL",25267522.0,20217
373,"Putnam, FL",2292484.0,2152
374,"St. Johns, FL",8361323.0,5444
375,"St. Lucie, FL",9430777.0,8155
376,"Santa Rosa, FL",4318852.0,5397
377,"Sarasota, FL",20110820.0,8270
378,"Seminole, FL",22039180.0,9153
379,"Sumter, FL",2825373.0,2416
380,"Suwannee, FL",1127853.0,2756
381,"Taylor, FL",989811.0,1343
382,"Union, FL",344981.0,986
383,"Volusia, FL",18539380.0,11031
384,"Wakulla, FL",699594.0,1149
385,"Walton, FL",2874403.0,1993
386,"Washington, FL",560449.0,1087
387,"Appling, GA",1614326.0,1054
388,"Atkinson, GA",268730.0,447
389,"Bacon, GA",387642.0,602
390,"Baker, GA",84612.0,84
391,"Baldwin, GA",1426587.0,2132
392,"Banks, GA",443231.0,501
393,"Barrow, GA",2150298.0,2259
394,"Bartow, GA",5074625.0,2983
395,"Ben Hill, GA",565992.0,795
396,"Berrien, GA",406799.0,461
397,"Bibb, GA",9013633.0,6115
398,"Bleckley, GA",269289.0,444
399,"Brantley, GA",277048.0,350
400,"Brooks, GA",318669.0,525
401,"Bryan, GA",929073.0,1163
402,"Bulloch, GA",2479598.0,2908
